customer_id,name,email,signup_date,country,state,city
3e063b6f-93df-40b1-bbe2-9fe8ecbd36f4,Cliente 0,cliente0@exemplo.com,2025-10-06,Brasil,MG,Belo Horizonte
a232d9fd-24f4-4c87-8b72-7fda392eaa26,Cliente 1,cliente1@exemplo.com,2025-08-10,Brasil,SC,São Paulo
1414e49f-17e7-481d-9b3f-dae0c9584a32,Cliente 2,cliente2@exemplo.com,2025-06-12,Brasil,RS,Florianópolis
65cf1db0-3e3b-475a-933a-dcda967beaa8,Cliente 3,cliente3@exemplo.com,2025-06-25,Brasil,RS,Florianópolis
9f7fa64c-c56d-44c0-b388-589661bdc2ae,Cliente 4,cliente4@exemplo.com,2025-02-10,Brasil,MG,São Paulo
53145ef5-6a9c-456b-9977-db7471a103eb,Cliente 5,cliente5@exemplo.com,2025-08-04,Brasil,SC,Belo Horizonte
69d075ce-dceb-4f9a-8086-f66f0a510984,Cliente 6,cliente6@exemplo.com,2025-02-14,Brasil,SC,Rio
4c54a79a-72b1-4eec-aab6-783cdc2676b8,Cliente 7,cliente7@exemplo.com,2025-11-05,Brasil,SC,Belo Horizonte
996c38fe-23ff-4a07-9ef6-5d3ff79f0b13,Cliente 8,cliente8@exemplo.com,2025-11-17,Brasil,RJ,Rio
f005b23e-6d36-4358-9107-cf5dcf47c9ae,Cliente 9,cliente9@exemplo.com,2025-05-14,Brasil,RS,São Paulo
7f6145da-2115-47b6-ad77-546043bebc82,Cliente 10,cliente10@exemplo.com,2025-09-08,Brasil,RJ,Belo Horizonte
c773280a-b3fd-45e4-9566-5958934f0327,Cliente 11,cliente11@exemplo.com,2025-02-23,Brasil,SP,São Paulo
ea6fc2c8-07f5-472b-8613-ffd36202c4be,Cliente 12,cliente12@exemplo.com,2025-01-13,Brasil,SP,Belo Horizonte
a5aeafa3-37bd-4a2f-b284-006e434f2c6d,Cliente 13,cliente13@exemplo.com,2025-02-05,Brasil,MG,Curitiba
ae152cf8-540e-4942-b2ab-5fa5ced05f70,Cliente 14,cliente14@exemplo.com,2025-10-04,Brasil,RJ,Belo Horizonte
c409a2f8-0ad0-4c66-be79-a97ee466400c,Cliente 15,cliente15@exemplo.com,2025-05-07,Brasil,MG,Porto Alegre
e6e6c0a2-9ef4-4c5d-9783-65482ff2c04b,Cliente 16,cliente16@exemplo.com,2025-08-28,Brasil,SC,São Paulo
f41d2e96-3ad4-4188-85eb-54967c4e3a7b,Cliente 17,cliente17@exemplo.com,2025-08-18,Brasil,RS,Florianópolis
084fe215-a23f-42fa-b152-05683ba7e396,Cliente 18,cliente18@exemplo.com,2025-10-30,Brasil,RS,São Paulo
0c117436-f0ec-4711-bc8c-c9809466f9fd,Cliente 19,cliente19@exemplo.com,2025-03-24,Brasil,RJ,Rio
f5631899-1555-40e0-ae0b-fd6fc5b46160,Cliente 20,cliente20@exemplo.com,2025-02-04,Brasil,RJ,São Paulo
c54ee5d7-9f43-456b-8e4e-73d56b0c10ae,Cliente 21,cliente21@exemplo.com,2025-02-24,Brasil,MG,Porto Alegre
f9ed4256-a830-44d0-bb42-943de84a1cdd,Cliente 22,cliente22@exemplo.com,2025-04-09,Brasil,RS,São Paulo
ebfa1817-3284-4aed-9320-e78e050503d4,Cliente 23,cliente23@exemplo.com,2025-07-28,Brasil,SC,Belo Horizonte
53111ff9-d159-431d-af59-8e5ea27fec63,Cliente 24,cliente24@exemplo.com,2025-01-04,Brasil,RS,Belo Horizonte
afc87d26-bb54-4271-9516-e6b9b62fb4aa,Cliente 25,cliente25@exemplo.com,2025-02-26,Brasil,SP,Porto Alegre
ab6b8b56-c725-4c2f-b5b0-72b2f2b41ef9,Cliente 26,cliente26@exemplo.com,2025-01-15,Brasil,RJ,Belo Horizonte
